,T,sigma,K,r,model,Model Price,Binomial Price,Lower,Upper,Absolute Error,Relative Error
0,0.25,0.15,90,0.01,poly,35.80938546896997,10.45787999193277,0.869333787204134,70.74943715073582,25.3515054770372,242.4153413176801
1,0.25,0.15,90,0.01,random forest,141.81026789654746,10.45787999193277,91.32912552670093,192.291410266394,131.3523879046147,1256.0135324362125
2,0.25,0.15,90,0.01,xgboost,167.63230681204604,10.45787999193277,109.6493891735077,225.61522445058438,157.17442682011327,1502.9281932988133
3,0.25,0.15,90,0.01,mlp,72.1232274809758,10.45787999193277,21.803804466530266,122.44265049542133,61.66534748904303,589.6543805877653
4,0.25,0.15,90,0.03,poly,35.77742084712479,10.86803441463789,0.8305754607249085,70.72426623352467,24.909386432486897,229.1986341056949
5,0.25,0.15,90,0.03,random forest,145.65853712933517,10.86803441463789,90.0924063982329,201.22466786043745,134.79050271469728,1240.2472937806606
6,0.25,0.15,90,0.03,xgboost,167.75844747285456,10.86803441463789,109.76382030243528,225.75307464327383,156.89041305821667,1443.5951071971654
7,0.25,0.15,90,0.03,mlp,72.19264675828707,10.86803441463789,21.86098171674098,122.52431179983316,61.32461234364918,564.2659013027467
8,0.25,0.15,90,0.05,poly,35.808349935717345,11.280067112932068,0.8570365000107998,70.7596633714239,24.52828282278528,217.4480220482443
9,0.25,0.15,90,0.05,random forest,143.48426504958366,11.280067112932068,92.58361056939303,194.38491952977427,132.20419793665158,1172.0160581765126
10,0.25,0.15,90,0.05,xgboost,167.8841330607069,11.280067112932068,109.87788171069322,225.89038441072057,156.6040659477748,1388.3256578166597
11,0.25,0.15,90,0.05,mlp,72.26169908022374,11.280067112932068,21.917859491886297,122.60553866856117,60.98163196729167,540.614088167783
12,0.25,0.15,100,0.01,poly,57.303449171040654,3.105427674839538,10.11686089231921,104.4900374497621,54.198021496201115,1745.2675499519273
13,0.25,0.15,100,0.01,random forest,132.61665662751176,3.105427674839538,82.17368591436576,183.05962734065776,129.5112289526722,4170.479641241822
14,0.25,0.15,100,0.01,xgboost,158.1697558306575,3.105427674839538,100.24337766903119,216.0961339922838,155.06432815581795,4993.33246148875
15,0.25,0.15,100,0.01,mlp,68.22254512540324,3.105427674839538,19.421957656514287,117.0231325942922,65.11711745056371,2096.8808250840493
16,0.25,0.15,100,0.03,poly,57.904044307146826,3.357284017882388,10.726469716598643,105.08161889769501,54.54676028926444,1624.7287985980374
17,0.25,0.15,100,0.03,random forest,135.94101607657254,3.357284017882388,84.90421951050405,186.97781264264103,132.58373205869015,3949.1366042458794
18,0.25,0.15,100,0.03,xgboost,158.30870273288616,3.357284017882388,100.36852917222066,216.24887629355166,154.95141871500377,4615.380107541203
19,0.25,0.15,100,0.03,mlp,68.85141257855169,3.357284017882388,19.693487505953904,118.00933765114948,65.4941285606693,1950.8069085552024
20,0.25,0.15,100,0.05,poly,58.01090180333148,3.6207407796935125,10.784247312721462,105.2375562939415,54.390161023637965,1502.1832363332558
21,0.25,0.15,100,0.05,random forest,135.63606717512044,3.6207407796935125,84.77356994986317,186.49856440037772,132.01532639542694,3646.0861030377805
22,0.25,0.15,100,0.05,xgboost,158.44715120515923,3.6207407796935125,100.49327485802856,216.40102755228992,154.82641042546572,4276.0976232761805
23,0.25,0.15,100,0.05,mlp,68.37265446910185,3.6207407796935125,19.547321694524094,117.19798724367959,64.75191368940834,1788.3609357665598
24,0.25,0.15,110,0.01,poly,57.927969722596764,0.3983135882629584,10.909418510361952,104.94652093483157,57.529656134333806,14443.307441561325
25,0.25,0.15,110,0.01,random forest,126.30426829715701,0.3983135882629584,76.16348802061304,176.44504857370097,125.90595470889404,31609.756337454786
26,0.25,0.15,110,0.01,xgboost,149.52100831977452,0.3983135882629584,91.73195428587161,207.31006235367744,149.12269473151156,37438.51556303519
27,0.25,0.15,110,0.01,mlp,66.95897958006691,0.3983135882629584,18.375415364617716,115.54254379551611,66.56066599180394,16710.618957810188
28,0.25,0.15,110,0.03,poly,57.995227360515585,0.4553334467169311,10.968289553075387,105.02216516795579,57.53989391379866,12636.869601536147
29,0.25,0.15,110,0.03,random forest,131.2277690016771,0.4553334467169311,75.7710920773506,186.6844459260036,130.77243555496017,28720.147069771043
30,0.25,0.15,110,0.03,xgboost,149.67343091154623,0.4553334467169311,91.86863961222124,207.47822221087122,149.2180974648293,32771.16990652221
31,0.25,0.15,110,0.03,mlp,68.2189040408513,0.4553334467169311,18.93792840934202,117.49987967236058,67.76357059413436,14882.186029321321
32,0.25,0.15,110,0.05,poly,57.63136950337538,0.5188093788107299,10.581641382787446,104.68109762396332,57.11256012456465,11008.390067173448
33,0.25,0.15,110,0.05,random forest,128.4963240108056,0.5188093788107299,77.92674900572624,179.06589901588498,127.97751463199488,24667.540691989525
34,0.25,0.15,110,0.05,xgboost,149.82530940566483,0.5188093788107299,92.00487996579932,207.64573884553033,149.30650002685408,28778.681751881653
35,0.25,0.15,110,0.05,mlp,67.66501372672018,0.5188093788107299,18.70551887963333,116.62450857380702,67.14620434790945,12942.365171159614
